deviceModel,intervalo,rsrq_mean,rsrq_std,rsrp_mean,rsrp_std,rssi_mean,rssi_std,lat_mean,lon_mean
Brand A model 3,I3 12:16:00-12:17:00,-17.333333333333332,1.2309149097933274,-100.58333333333333,1.9752253419585197,-61.5,1.5075567228888183,-16.406410408333336,-71.52438709166665
Brand A model 3,I4 12:17:00-12:18:00,-18.666666666666668,0.984731927834662,-103.0,1.651445647689541,-63.166666666666664,1.80067327475704,-16.4063891,-71.52439403333334
Brand A model 3,I5 12:18:00-12:19:00,-19.5,0.674199862463242,-106.75,4.575130400526108,-61.666666666666664,1.969463855669324,-16.406367983333332,-71.52445133333333
Brand A model 3,I6 12:19:00-12:20:00,-19.666666666666668,0.7784989441615231,-104.0,1.5954480704349312,-61.666666666666664,1.775250729197189,-16.406305216666667,-71.52448269166668
Brand A model 3,I7 12:20:00-12:21:00,-16.333333333333332,0.4923659639173309,-101.66666666666667,1.6696942198734435,-64.0,1.5954480704349312,-16.4064134,-71.524537325
Brand A model 3,I8 12:21:00-12:22:00,-16.916666666666668,0.6685579234215214,-102.75,1.2880570286640687,-64.66666666666667,0.778498944161523,-16.406459166666664,-71.5245681
Brand A model 3,I9 12:22:00-12:23:00,-18.166666666666668,1.6422453217986943,-102.5,1.0,-63.666666666666664,0.9847319278346618,-16.406494750000004,-71.52464636666666
Brand A model 3,I10 12:23:00-12:24:00,-16.833333333333332,1.7494587907710375,-101.41666666666667,1.7816403745544227,-63.166666666666664,1.8006732747570402,-16.40649555,-71.52466714999998
Brand A model 3,I11 12:24:00-12:25:00,-16.833333333333332,0.9374368665610923,-100.91666666666667,1.2401124093721454,-63.166666666666664,1.5859229221975182,-16.406508016666667,-71.52464456666667
Brand A model 3,I12 12:25:00-12:26:00,-16.416666666666668,0.7929614610987591,-98.25,1.4847711791873706,-61.0,1.2060453783110545,-16.406538725,-71.524611925
Brand A model 3,I13 12:26:00-12:27:00,-15.454545454545455,0.5222329678670935,-98.27272727272727,1.1908743922772955,-61.72727272727273,1.009049958219026,-16.40657669090909,-71.52454727272726
Brand A model 3,I14 12:27:00-12:28:00,-16.583333333333332,0.5149286505444373,-98.25,1.9128750375000738,-59.666666666666664,2.3094010767585034,-16.406619299999996,-71.52449939999998
Brand A model 3,I15 12:28:00-12:29:00,-16.5,0.5222329678670935,-98.83333333333333,2.208797835653566,-61.666666666666664,2.605355789115719,-16.406605841666664,-71.52450415
Brand A model 3,I16 12:29:00-12:30:00,-16.0,0.9534625892455924,-98.33333333333333,3.845501110112802,-61.333333333333336,3.498917581542075,-16.406587,-71.52451080000002
Brand A model 3,I17 12:30:00-12:31:00,-15.75,0.8660254037844386,-96.33333333333333,4.119429204355498,-59.5,3.424510582152248,-16.40656505,-71.52451456666665
Brand A model 3,I18 12:31:00-12:32:00,-16.666666666666668,1.0730867399773198,-98.83333333333333,0.38924947208076144,-61.5,0.9045340337332909,-16.406556933333338,-71.52457168333335
Brand B model 1,I1 12:14:00-12:15:00,-18.666666666666668,1.0,-101.77777777777777,2.8185890875479607,-63.22222222222222,2.9059326290271157,-16.406491555555554,-71.5243766
Brand B model 1,I2 12:15:00-12:16:00,-18.083333333333332,0.5149286505444371,-98.75,2.41679727964699,-60.5,2.969542358374741,-16.406481899999996,-71.5243913
Brand B model 1,I3 12:16:00-12:17:00,-18.5,0.674199862463242,-99.0,1.4142135623730951,-60.833333333333336,1.0298573010888743,-16.40646430833333,-71.52441954166666
Brand B model 1,I4 12:17:00-12:18:00,-19.77777777777778,0.4409585518440983,-103.66666666666667,3.5000000000000004,-62.333333333333336,2.0,-16.40642907777778,-71.5244376
Brand B model 1,I5 12:18:00-12:19:00,-19.5,0.5270462766947299,-113.0,8.432740427115679,-74.0,7.378647873726218,-16.406383536363634,-71.52446438181818
Brand B model 1,I6 12:19:00-12:20:00,-19.22222222222222,1.3017082793177759,-102.77777777777777,1.6414763002993509,-66.55555555555556,4.876246279442597,-16.40644633636364,-71.52452266363638
Brand B model 1,I7 12:20:00-12:21:00,-19.0,1.044465935734187,-105.16666666666667,1.6422453217986939,-65.16666666666667,1.3371158468430429,-16.40645590833333,-71.52453215833334
Brand B model 1,I8 12:21:00-12:22:00,-19.5,0.5270462766947299,-102.8,2.2010098692292237,-63.4,1.837873166945363,-16.40647634,-71.52456412000001
Brand B model 1,I9 12:22:00-12:23:00,-19.0,1.1281521496355325,-102.25,2.958039891549808,-65.33333333333333,3.393398225253193,-16.406511716666664,-71.52461435
Brand B model 1,I10 12:23:00-12:24:00,-18.416666666666668,1.0836246694508318,-104.33333333333333,3.773913650631695,-65.16666666666667,3.459724984691264,-16.406538299999998,-71.52461213333333
Brand B model 1,I11 12:24:00-12:25:00,-17.75,0.621581560508061,-98.75,4.826536495817114,-63.5,8.575864652934685,-16.406556199999997,-71.52459424999996
Brand B model 1,I12 12:25:00-12:26:00,-18.333333333333332,0.4923659639173309,-99.66666666666667,2.0597146021777486,-62.333333333333336,2.6053557891157184,-16.406578808333332,-71.52455285
Brand B model 1,I13 12:26:00-12:27:00,-19.083333333333332,0.90033663737852,-104.66666666666667,2.059714602177749,-66.0,1.8090680674665818,-16.406602266666663,-71.52452853333331
Brand B model 1,I14 12:27:00-12:28:00,-19.25,0.4629100498862757,-105.25,1.3887301496588271,-66.0,1.8516401995451028,-16.40663715,-71.52450461250001
Brand B model 1,I15 12:28:00-12:29:00,-19.25,0.4629100498862757,-105.0,2.2677868380553634,-66.5,1.7728105208558367,-16.406641,-71.5245019
Brand B model 1,I16 12:29:00-12:30:00,-17.8,0.7888106377466155,-101.4,5.561774297230456,-64.2,6.196773353931867,-16.40662237,-71.52445825
Brand B model 1,I17 12:30:00-12:31:00,-17.90909090909091,1.044465935734187,-105.63636363636364,1.9116865471476892,-66.63636363636364,1.9632996344280855,-16.406612118181815,-71.5244679727273
Brand B model 1,I18 12:31:00-12:32:00,-19.5,0.5345224838248488,-105.125,0.9910312089651149,-63.25,0.7071067811865476,-16.4065513875,-71.52445455
Brand C model 1,I1 13:21:00-13:23:00,-16.695652173913043,1.1051442772406628,-96.04347826086956,8.188008198632287,-58.82608695652174,8.088443910987191,-16.406431986956523,-71.52434497391305
Brand C model 1,I2 13:24:00-13:26:00,-15.708333333333334,0.624093545570845,-102.25,0.7372097807744856,-65.5,0.8846517369293828,-16.4065439,-71.52431005833334
Brand C model 1,I3 13:27:00-13:29:00,-15.791666666666666,0.7790276362049132,-100.625,0.8753881126826472,-63.833333333333336,1.659404467996214,-16.406503075,-71.52429997916666
Brand C model 1,I4 13:30:00-13:32:00,-17.09090909090909,0.6837634587578276,-105.5,0.6725927091345493,-67.63636363636364,1.2926699776028183,-16.406494459090908,-71.52437644999999
Brand C model 1,I5 13:33:00-13:35:00,-18.0,1.4142135623730951,-106.25,0.4472135954999579,-66.75,2.1756225162774294,-16.406425974999998,-71.524330475
Brand C model 1,I6 13:48:00-13:50:00,-16.2,0.9514531821875089,-106.0,1.6222142113076254,-68.3,1.7501879598308407,-16.40664527,-71.52388726000001
Brand C model 1,I7 13:51:00-13:53:00,-16.125,0.9918143234365558,-103.83333333333333,1.1293194051465594,-66.25,1.9392961520142795,-16.406486599999997,-71.52393260833333
Brand C model 1,I8 13:54:00-13:56:00,-19.0,0.7071067811865476,-101.42857142857143,1.9639610121239313,-61.857142857142854,2.5746012173871557,-16.406089880952386,-71.5238296
Brand C model 1,I9 13:57:00-13:59:00,-17.565217391304348,1.7009646182125795,-99.52173913043478,2.483940513439945,-61.34782608695652,2.5335690896472136,-16.40613050869565,-71.52401246956519
Brand C model 1,I10 14:53:00-14:55:00,-16.583333333333332,0.880546602310508,-108.125,0.9469631093315001,-70.33333333333333,1.274044114541212,-16.406668116666665,-71.52448554166666
Brand C model 1,I11 14:56:00-14:58:00,-16.0,0.5897678246195885,-106.5,1.2510864843424485,-68.91666666666667,1.3805061033726997,-16.406735879166664,-71.52441535
Brand C model 1,I12 14:59:00-15:01:00,-15.041666666666666,0.7506036218280918,-101.0,0.5897678246195885,-64.91666666666667,1.24818709114169,-16.406563429166667,-71.52460355416667
Brand C model 1,I13 15:02:00-15:04:00,-15.5,0.6069769786668839,-103.05,1.7312909694943337,-66.7,1.4903196407411894,-16.406583375,-71.52461817
Brand C model 1,I14 15:05:00-15:07:00,-15.777777777777779,0.6467616667635545,-103.83333333333333,0.9235481451827987,-67.11111111111111,1.2782749814122838,-16.40655495555556,-71.5246072611111
Brand C model 1,I15 15:12:00-15:14:00,-14.590909090909092,0.9081163607574332,-100.54545454545455,2.240902724717211,-65.0,2.047065262876636,-16.40664315454546,-71.52454996818179
Brand C model 1,I16 15:15:00-15:17:00,-14.708333333333334,0.9990937922923457,-101.75,1.0733936430981312,-66.08333333333333,1.1764599317505429,-16.4064658375,-71.52462394583334
Brand C model 1,I17 15:18:00-15:20:00,-15.5,0.659380473395787,-103.45833333333333,1.4135729219948656,-66.66666666666667,1.1293194051465594,-16.406467354166665,-71.52463113750001
Brand C model 1,I18 15:22:00-15:24:00,-14.523809523809524,0.6796357567879737,-102.38095238095238,1.4992061391346574,-66.52380952380952,1.5368489717290903,-16.406459223809524,-71.52459795238094
